C1=CC(=C(C(=C1CCNC(=O)C(Cl)Cl)O)CO)[N+](=O)[O-]	69247306	UJGRJBSRPOCVER-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC=C(C=C1)C(C(CO)NC(=O)C(Cl)Cl)([N+](=O)[O-])O	141020866	WKPYEPGXJHUJGR-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(C)(C)OC(=O)N(C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl)O	101196044	WMOWIKCXVGYJOM-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C([37Cl])[37Cl])O)[N+](=O)[O-]	12358812	WIIZWVCIJKGZOK-SODWHQKFSA-N	C11H12Cl2N2O5
CC(=O)OC1CC(C(C1O)O)N2C(=O)C(=C(C=N2)Cl)Cl	19047308	OMPKTTKGDLTOJT-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC=C(C(=C1)C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	151826087	SDQKGPHGTMIGOV-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(C)(C)OC(=O)NOC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	11393113	UCMQELMVLGZHLB-UHFFFAOYSA-N	C11H12Cl2N2O5
[2H]C1=C(C(=C(C(=C1[C@H]([C@@H](CO)NC(=O)C([2H])(Cl)Cl)O)[2H])[2H])[N+](=O)[O-])[2H]	139026037	WIIZWVCIJKGZOK-VFHRPTENSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	5959	WIIZWVCIJKGZOK-RKDXNWHRSA-N	C11H12Cl2N2O5
[2H]C1=C(C(=C(C(=C1C([2H])(C(CO)NC(=O)C(Cl)Cl)O)[2H])[2H])[N+](=O)[O-])[2H]	117064930	WIIZWVCIJKGZOK-NEKQGQCZSA-N	C11H12Cl2N2O5
COCCC(C(=O)O)NC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	106891122	ZLZLYWRZVGMVBX-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C(CO)(CO)NC(=O)C(Cl)Cl)[N+](=O)[O-]	23616121	RHARKEWMJAXBQU-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(=O)N(CC(CO)O)C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	138785609	OJCGWDFTWFDJTG-UHFFFAOYSA-N	C11H12Cl2N2O5
COCCN(CC(=O)O)C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	106891114	YDOMTCLJVADEFW-UHFFFAOYSA-N	C11H12Cl2N2O5
[13CH]1=[13CH][13C](=[13CH][13CH]=[13C]1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	45038608	WIIZWVCIJKGZOK-BNKGHQRYSA-N	C11H12Cl2N2O5
C1=CC(=CC(=C1)[N+](=O)[O-])[C@H]([C@H](CO)NC(=O)C(Cl)Cl)O	15127663	FTMJFHVKAXPFIY-DTWKUNHWSA-N	C11H12Cl2N2O5
COCC(CO)NC(=O)C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]	106183698	KADXIWDFMLETQG-UHFFFAOYSA-N	C11H12Cl2N2O5
[2H]C1=C(C(=C(C(=C1[C@]([2H])([C@H](CO)NC(=O)C(Cl)Cl)O)[2H])[2H])[N+](=O)[O-])[2H]	129318171	WIIZWVCIJKGZOK-IMFWZETFSA-N	C11H12Cl2N2O5
COC(=O)CN(CC(=O)OC)C(=O)C1=CC(=C(N1)Cl)Cl	62952949	SVNWCLUNVZCCHY-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC(=C1)[N+](=O)[O-])[C@@H]([C@@H](CO)NC(=O)C(Cl)Cl)O	71314669	FTMJFHVKAXPFIY-BDAKNGLRSA-N	C11H12Cl2N2O5
COC(CNC(=O)C1=C(C(=CC(=C1)[N+](=O)[O-])Cl)Cl)OC	107188559	DMZAZVIUVJTFNY-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(NC(=C1Cl)Cl)C(=O)N[C@H](CCCC(=O)O)C(=O)O	107831626	JRPGVCXDUOWBCK-ZCFIWIBFSA-N	C11H12Cl2N2O5
CN1C(=CC(=C1Cl)Cl)C(=O)N[C@@H](CCC(=O)O)C(=O)O	61153476	UEVBJEWRJAUIAW-LURJTMIESA-N	C11H12Cl2N2O5
CC(C(=O)O)N(CCO)C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	138783382	JBAYUCFJQBSDLQ-UHFFFAOYSA-N	C11H12Cl2N2O5
CCOC(=O)CNC(=O)C1=CC(=C(C=C1)Cl)[N+](=O)[O-].Cl	24207209	IAYDKSBZURHRDF-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)Cl)C(=O)NCCOCCO	60654551	VSZMWSPVWLOVTO-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(C=C(C(=C1Cl)N(CCC(=O)O)CCO)Cl)[N+](=O)[O-]	138782811	NAEZIEUIYOPEHA-UHFFFAOYSA-N	C11H12Cl2N2O5
COCCC(C(=O)O)NC1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl	80350995	SBSNDZBHUPSWFW-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC=C(C=C1)C(C(C([N+](=O)[O-])O)NC(=O)C(Cl)Cl)O	67943337	JZWDLZIAGRTXBC-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(CCOC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)(C(=O)O)N	62099141	ZXMIGOFNONJTAR-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@@H](C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	60098667	WIIZWVCIJKGZOK-GKAPJAKFSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C([C@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	21857773	WIIZWVCIJKGZOK-IENPIDJESA-N	C11H12Cl2N2O5
CC(C)(C)OC(=O)N(C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)O	11393114	WEPYECNBZXOUHT-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC=C(C(=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	125342600	SDQKGPHGTMIGOV-VXNVDRBHSA-N	C11H12Cl2N2O5
CC(CNC(=O)C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-])(CO)O	66187897	SATWEVQDRMONOQ-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC(=C1)[N+](=O)[O-])C(C(CO)NC(=O)C(Cl)Cl)O	92001055	FTMJFHVKAXPFIY-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC(=C1)[N+](=O)[O-])[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O	16212183	FTMJFHVKAXPFIY-RKDXNWHRSA-N	C11H12Cl2N2O5
[2H][C@]([C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O)(C([2H])([2H])O[2H])N([2H])C(=O)C(Cl)Cl	90817300	WIIZWVCIJKGZOK-JYKHZQGKSA-N	C11H12Cl2N2O5
CC(CO)(CO)NC(=O)C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]	81962731	NMCKSHJRENFPNT-UHFFFAOYSA-N	C11H12Cl2N2O5
COC(CC(=O)O)CNC1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl	103153858	KICYQITZZKVMHA-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(=O)OC[C@H](C1=NC=CC(=C1Cl)Cl)C(O)OC(=O)N	140395386	XDJBZCRJASMHOF-ZMMDDIOLSA-N	C11H12Cl2N2O5
COCCN(CC(=O)O)C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl	80350268	SDABRQSDCPYMHY-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	146034	WIIZWVCIJKGZOK-BDAKNGLRSA-N	C11H12Cl2N2O5
CN1C(=CC(=C1Cl)Cl)C(=O)N[C@@H](CC(=O)OC)C(=O)O	63307344	SRBMLJQOFIQXQU-LURJTMIESA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	16399516	WIIZWVCIJKGZOK-VEDVMXKPSA-N	C11H12Cl2N2O5
CC(COC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)(C(=O)OC)N	62098125	QKGREASZQOQXFE-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(=O)O[C@@H]1[C@H](O[C@H]([C@@H]1Cl)N2C=CC(=O)NC2=O)CCl	121221881	MCLTZAZBQCRJDE-PEBGCTIMSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C(C(COC(Cl)Cl)C(=O)N)O)[N+](=O)[O-]	177925	FHDPTOGOPLCNDA-UHFFFAOYSA-N	C11H12Cl2N2O5
[3H]C1=CC(=CC(=C1[N+](=O)[O-])[3H])[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O	118855945	WIIZWVCIJKGZOK-SSNHQJQASA-N	C11H12Cl2N2O5
CNC(CCOC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)C(=O)O	63035667	GKARQNYRLTUCQM-UHFFFAOYSA-N	C11H12Cl2N2O5
COC(=O)CC[C@H](C(=O)O)NC(=O)C1=CC(=C(N1)Cl)Cl	107820888	INBCZAUYPWBWBP-ZCFIWIBFSA-N	C11H12Cl2N2O5
CCC(N(C1=CC=C(C=C1)[N+](=O)[O-])C(=O)C(Cl)Cl)(O)O	89350458	GPXRRNKREKXASY-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)Cl)C(=O)N(CCO)CCO	60653598	PYZJSJGMPYQANG-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@H]([C@@H](CO)N[14C](=O)C(Cl)Cl)O)[N+](=O)[O-]	11301788	WIIZWVCIJKGZOK-ISNVPDPVSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C(C(=O)NC(CCO)O)(Cl)Cl)[N+](=O)[O-]	71184652	YCQVPJYWYKCATG-UHFFFAOYSA-N	C11H12Cl2N2O5
COCC(=O)N(CCO)C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	138783103	GWPZSIQKGZDQSU-UHFFFAOYSA-N	C11H12Cl2N2O5
COC(CC(=O)O)CNC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	106891214	COJJKJLPKUCDNT-UHFFFAOYSA-N	C11H12Cl2N2O5
COC(=O)C(CCOC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)N	63035847	XUOCNHIKTOLVLU-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(CNC(=O)C1=C(C(=CC(=C1)[N+](=O)[O-])Cl)Cl)(CO)O	107189078	LUMJARWYXRNFNT-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(C=C(C(=C1O)O)O)C(=O)NCCNC(=O)C(Cl)Cl	108571739	FVGCICXFVGJBOQ-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=C(C=C(C(=C1C(=O)N(CCO)CCO)Cl)Cl)[N+](=O)[O-]	107188253	YPSAPNCOWFSSJT-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(=O)OC[C@@H](C1=NC=CC(=C1Cl)Cl)C(O)OC(=O)N	140972128	XDJBZCRJASMHOF-UOQJWNSWSA-N	C11H12Cl2N2O5
COC(=O)CC[C@@H](C(=O)O)NC(=O)C1=CC(=C(N1)Cl)Cl	107820474	INBCZAUYPWBWBP-LURJTMIESA-N	C11H12Cl2N2O5
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	298	WIIZWVCIJKGZOK-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@H]([C@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	146033	WIIZWVCIJKGZOK-DTWKUNHWSA-N	C11H12Cl2N2O5
COC(=O)CN(CCO)C1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl	138782843	QOFYXKCNMKSMHV-UHFFFAOYSA-N	C11H12Cl2N2O5
CNC(COC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl)C(=O)OC	62099830	KARNDARDVOOZLI-UHFFFAOYSA-N	C11H12Cl2N2O5
CC(C)[C@@H](C(=O)O)NC(=O)CN1C(=O)C(=C(C1=O)Cl)Cl	1755836	LUQZCYXSMIAMOF-QMMMGPOBSA-N	C11H12Cl2N2O5
CC(C(C1=CC=C(C=C1)[N+](=O)[O-])(N)O)OC(=O)C(Cl)Cl	153789694	JUGGTCSWONNIOF-UHFFFAOYSA-N	C11H12Cl2N2O5
C1=CC(=CC=C1[C@H](C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	127517	WIIZWVCIJKGZOK-YGPZHTELSA-N	C11H12Cl2N2O5
