acquisition,inchikey,column_hash,column,entryid
AU,QMLVECGLEOSESV-RYUDHWBXSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102704
AU,QMLVECGLEOSESV-RYUDHWBXSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102705
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102801
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102802
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102803
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102804
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102805
AU,NOCJXYPHIIZEHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102806
AU,SPFYMRJSYKOXGV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102901
AU,SPFYMRJSYKOXGV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102904
AU,SPFYMRJSYKOXGV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU102905
AU,DPSPPJIUMHPXMA-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103001
AU,DPSPPJIUMHPXMA-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103004
AU,DPSPPJIUMHPXMA-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103005
AU,BPFYOAJNDMUVBL-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103102
AU,OGJPXUAPXNRGGI-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103202
AU,OGJPXUAPXNRGGI-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103204
AU,OGJPXUAPXNRGGI-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103205
AU,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103301
AU,KYGZCKSPAKDVKC-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103401
AU,KYGZCKSPAKDVKC-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103404
AU,KYGZCKSPAKDVKC-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103405
AU,XBHBWNFJWIASRO-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103501
AU,XBHBWNFJWIASRO-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103504
AU,XBHBWNFJWIASRO-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU103505
AU,MLYYVTUWGNIJIB-BXKDBHETSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104501
AU,MLYYVTUWGNIJIB-BXKDBHETSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104502
AU,MLYYVTUWGNIJIB-BXKDBHETSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104503
AU,MLYYVTUWGNIJIB-BXKDBHETSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104504
AU,MLYYVTUWGNIJIB-BXKDBHETSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104505
AU,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU104601
AU,GCFBRXLSHGKWDP-WJONJSRFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105001
